row_id,created_at,rating
246,2/5/25,8
247,1/10/25,3
248,1/31/25,6
249,1/20/25,3
250,1/15/25,9
251,1/23/25,2
252,1/27/25,7
253,1/12/25,3
254,1/16/25,5
255,1/28/25,9
256,1/11/25,7
257,2/3/25,10
258,1/18/25,3
259,1/7/25,10
260,1/17/25,4
261,1/24/25,8
262,1/15/25,4
263,1/14/25,0
264,1/27/25,3
265,1/29/25,9
266,1/29/25,2
267,1/29/25,9
268,1/7/25,7
269,2/2/25,9
270,1/20/25,2
271,2/3/25,3
272,1/23/25,0
273,2/4/25,1
274,1/29/25,6
275,2/4/25,10
276,1/7/25,10
277,1/25/25,2
278,1/16/25,4
279,2/4/25,1
280,1/15/25,4
281,1/15/25,10
282,2/5/25,3
283,2/6/25,0
284,2/3/25,8
285,1/8/25,3
286,1/28/25,1
287,1/22/25,3
288,1/25/25,3
289,1/8/25,4
290,1/26/25,1
291,2/1/25,1
292,1/26/25,1
293,1/11/25,8
294,1/11/25,5
295,1/14/25,1
296,1/26/25,6
297,1/7/25,5
298,2/4/25,5
299,1/11/25,10
300,1/20/25,10
301,1/10/25,0
302,1/23/25,5
303,1/23/25,0
304,2/5/25,1
305,1/19/25,10
306,1/27/25,3
307,2/6/25,3
308,1/27/25,3
309,1/14/25,5
310,2/5/25,8
311,2/5/25,7
312,1/26/25,1
313,1/16/25,9
314,2/1/25,10
315,2/5/25,0
316,1/15/25,3
317,2/2/25,6
318,1/22/25,6
319,1/19/25,3
320,1/8/25,10
321,2/6/25,0
322,1/31/25,9
323,1/19/25,10
324,1/23/25,10
325,1/18/25,5
326,1/25/25,10
327,1/13/25,3
328,1/18/25,6
329,1/25/25,4
330,2/17/25,4
331,1/25/25,5
332,1/22/25,8
333,1/14/25,7
334,1/14/25,9
335,1/23/25,10
336,1/7/25,1
337,1/28/25,6
338,1/28/25,7
339,2/1/25,0
340,1/17/25,10
341,1/14/25,6
342,1/11/25,4
343,1/8/25,9
344,1/21/25,0
345,1/28/25,8
346,2/5/25,4
347,1/10/25,8
348,1/31/25,6
349,1/20/25,4
350,1/15/25,7
351,1/23/25,0
352,1/27/25,7
353,1/12/25,2
354,1/16/25,6
355,1/28/25,8
356,1/11/25,1
357,2/3/25,5
358,1/18/25,5
359,1/7/25,2
360,2/1/25,1
361,2/5/25,0
362,1/15/25,6
363,2/2/25,6
364,1/22/25,2
365,1/19/25,9
366,1/8/25,9
367,2/6/25,5
368,1/31/25,1
369,1/19/25,3
370,1/23/25,0
371,1/18/25,3
372,1/25/25,9
373,1/13/25,4
374,1/18/25,8
375,1/25/25,0
376,2/17/25,0
377,4/25/25,3
378,1/22/25,8
379,1/14/25,0
380,4/14/25,8
381,1/23/25,2
382,1/7/25,5
383,1/28/25,0
384,1/28/25,1
385,2/1/25,4
386,1/17/25,3
387,1/14/25,9
388,1/11/25,3
389,1/8/25,8
390,3/21/25,7
391,1/28/25,4
392,2/5/25,8
393,1/15/25,8
394,2/2/25,2
395,1/22/25,0
396,1/19/25,9
397,1/8/25,6
398,2/6/25,4
399,1/31/25,2
400,1/19/25,9
401,1/23/25,5
402,1/18/25,5
403,1/25/25,0
404,1/13/25,6
405,1/18/25,3
406,1/25/25,3
407,2/17/25,0
408,4/25/25,0
409,1/22/25,3
410,1/14/25,4
411,4/14/25,1
412,1/23/25,0
413,1/7/25,6
414,1/28/25,6
415,1/28/25,2
416,2/1/25,6
417,1/17/25,3
418,1/14/25,4
419,1/11/25,3
420,1/8/25,0
421,1/15/25,4
422,1/23/25,8
423,1/27/25,7
424,1/12/25,0
425,1/16/25,7
426,1/28/25,5
427,1/11/25,4
428,2/3/25,3
429,1/18/25,4
430,1/7/25,7
431,2/1/25,9
432,2/5/25,0
433,1/15/25,5
434,2/2/25,9
435,1/22/25,8
436,1/19/25,5
437,1/8/25,1
438,2/6/25,1
439,1/31/25,3
440,1/19/25,5
441,1/23/25,9
442,1/18/25,0
443,1/25/25,6
444,1/13/25,2
445,1/18/25,10
446,1/25/25,10
447,2/17/25,10
448,4/25/25,7
449,1/22/25,9
450,1/14/25,7
451,4/14/25,3
452,1/23/25,6
453,1/7/25,0
454,1/28/25,10
455,1/28/25,8
